Fecha,Futuros,Precio Interno ($/125 Kg),TRM
2022-02-25,240.05,2160000.0,3940.2
2022-02-24,239.35,2160000.0,3913.79
2022-02-23,248.6,2228000.0,3932.4
2022-02-22,248.45,2232000.0,3927.25
2022-02-21,,,3927.25
2022-02-20,,2222000.0,3927.25
2022-02-19,,2222000.0,3927.25
2022-02-18,246.85,2222000.0,3953.26
2022-02-17,251.5,2260000.0,3963.72
2022-02-16,252.25,2290000.0,3946.88
2022-02-15,251.85,2272000.0,3938.97
2022-02-14,247.55,2233000.0,3917.52
2022-02-13,,2255000.0,3917.52
2022-02-12,,2255000.0,3917.52
2022-02-11,251.65,2255000.0,3917.75
2022-02-10,255.2,2275000.0,3939.31
2022-02-09,258.35,2307000.0,3965.41
2022-02-08,248.95,2240000.0,3963.84
2022-02-07,241.65,2192000.0,3962.68
2022-02-06,,2185000.0,3962.68
2022-02-05,,2185000.0,3962.68
2022-02-04,241.85,2185000.0,3951.96
2022-02-03,243.9,2203000.0,3928.05
2022-02-02,238.8,2150000.0,3923.61
2022-02-01,236.7,2125000.0,3942.73
2022-01-31,235.1,2123000.0,3982.6
2022-01-30,,2135000.0,3982.6
2022-01-29,,2135000.0,3982.6
2022-01-28,235.9,2135000.0,3944.04
2022-01-27,232.05,2105000.0,3947.83
2022-01-26,238.9,2139000.0,3987.32
2022-01-25,237.9,2149000.0,3977.51
2022-01-24,232.95,2113000.0,3964.3
2022-01-23,,2142000.0,3964.3
2022-01-22,,2142000.0,3964.3
2022-01-21,237.9,2142000.0,3980.8
2022-01-20,243.65,2198000.0,4003.95
2022-01-19,244.45,2215000.0,4033.37
2022-01-18,239.6,2196000.0,3993.65
2022-01-17,,,3993.65
2022-01-16,,2180000.0,3993.65
2022-01-15,,2180000.0,3993.65
2022-01-14,239.65,2180000.0,3950.4
2022-01-13,237.0,2135000.0,3970.08
2022-01-12,240.85,2170000.0,4011.65
2022-01-11,237.05,2147000.0,4043.46
2022-01-10,234.9,2160000.0,4043.46
2022-01-09,,2189000.0,4043.46
2022-01-08,,2189000.0,4043.46
2022-01-07,238.45,2189000.0,4039.31
2022-01-06,231.7,2125000.0,4042.36
2022-01-05,231.75,2120000.0,4084.11
2022-01-04,231.75,2149000.0,4082.75
2022-01-03,223.3,2074000.0,3981.16
2022-01-02,,2097000.0,3981.16
2022-01-01,,2097000.0,3981.16
2021-12-31,226.1,2097000.0,3981.16
2021-12-30,228.85,2120000.0,4023.68
2021-12-29,228.9,2104000.0,4004.0
2021-12-28,225.6,2061000.0,3989.41
2021-12-27,227.05,2069000.0,3994.15
2021-12-26,,2098000.0,3994.15
2021-12-25,,2098000.0,3994.15
2021-12-24,,2098000.0,3997.09
2021-12-23,231.2,2103000.0,3997.71
2021-12-22,233.55,2122000.0,3996.28
2021-12-21,228.25,2080000.0,4002.12
2021-12-20,224.4,2048000.0,3999.85
2021-12-19,,2118000.0,3999.85
2021-12-18,,2118000.0,3999.85
2021-12-17,235.9,2118000.0,4002.97
2021-12-16,236.95,2160000.0,3990.27
2021-12-15,237.4,2153000.0,3936.41
2021-12-14,237.15,2155000.0,3886.87
2021-12-13,236.7,2090000.0,3887.71
2021-12-12,,2061000.0,3887.71
2021-12-11,,2061000.0,3887.71
2021-12-10,232.7,2061000.0,3899.87
2021-12-09,240.35,2123000.0,3906.1
2021-12-08,244.75,2160000.0,3906.1
2021-12-07,243.9,2153000.0,3944.0
2021-12-06,250.2,2218000.0,3948.33
2021-12-05,,2183000.0,3948.33
2021-12-04,,2183000.0,3948.33
2021-12-03,244.05,2183000.0,3945.18
2021-12-02,237.45,2113000.0,3953.26
2021-12-01,234.2,2102000.0,4004.54
2021-11-30,233.25,2110000.0,4010.98
2021-11-29,233.85,2136000.0,4008.13
2021-11-28,,2202000.0,4008.13
2021-11-27,,2202000.0,4008.13
2021-11-26,243.85,2202000.0,3969.49
2021-11-25,,,3969.49
2021-11-24,246.3,2205000.0,3944.37
2021-11-23,242.55,2168000.0,3913.26
2021-11-22,231.35,2070000.0,3923.53
2021-11-21,,2080000.0,3923.53
2021-11-20,,2080000.0,3923.53
2021-11-19,233.3,2080000.0,3943.43
2021-11-18,228.95,2052000.0,3907.95
