Fecha,PANIC_INDEX,MEDIA_HYPE_INDEX,FAKE_NEWS_INDEX,SENTIMENT_INDEX,Futuros,Precio Interno ($/125 Kg),TRM
2022-04-15,0.74,24.01,0.08,3.62,,,3737.32
2022-04-14,4.29,35.82,0.05,2.0,223.6,1968000.0,3737.32
2022-04-13,1.26,31.35,0.13,-3.01,225.05,1978000.0,3736.7
2022-04-12,0.41,25.93,0.08,-3.11,233.6,2060000.0,3744.16
2022-04-11,2.13,22.46,0.0,-2.6,236.6,2072000.0,3777.41
2022-04-10,0.96,15.31,0.0,-2.56,,2044000.0,3777.41
2022-04-09,0.12,25.25,0.0,-2.4,,2044000.0,3777.41
2022-04-08,0.57,21.15,0.15,-2.5,231.65,2044000.0,3771.83
2022-04-07,0.44,26.48,0.16,-11.69,226.15,2008000.0,3746.51
2022-04-06,0.21,15.71,0.08,-7.16,227.6,2010000.0,3723.79
2022-04-05,0.2,47.44,0.05,-7.16,231.3,2032000.0,3706.95
2022-04-04,0.18,15.01,0.09,-4.02,230.6,2007000.0,3774.79
2022-04-03,0.82,23.65,6.53,-2.07,,2015000.0,3774.79
2022-04-02,0.63,32.81,0.51,-1.79,,2015000.0,3774.79
2022-04-01,0.41,33.32,0.2,1.93,228.4,2015000.0,3756.03
2022-03-31,1.22,16.01,0.0,7.94,226.4,2012000.0,3748.15
2022-03-30,0.75,24.3,0.85,7.83,221.85,1967000.0,3765.96
2022-03-29,0.78,15.67,0.11,9.34,215.7,1920000.0,3785.7
2022-03-28,0.29,17.23,0.06,8.09,214.55,1925000.0,3785.66
2022-03-27,1.81,10.19,0.05,6.71,,1984000.0,3785.66
2022-03-26,0.66,35.37,0.22,6.74,,1984000.0,3785.66
2022-03-25,2.83,27.36,0.23,5.7,221.85,1984000.0,3798.9
2022-03-24,3.35,37.44,0.06,0.0,221.85,1980000.0,3756.64
2022-03-23,0.69,28.32,0.07,1.01,225.3,2001000.0,3765.67
2022-03-22,2.97,34.79,0.0,0.74,225.05,1987000.0,3820.67
2022-03-21,1.72,16.15,3.44,3.01,225.85,2014000.0,3820.67
2022-03-20,0.64,18.79,0.96,2.29,,1978000.0,3820.67
2022-03-19,0.99,32.22,0.39,-1.51,,1978000.0,3820.67
2022-03-18,2.17,27.07,0.07,-0.8,220.3,1978000.0,3816.43
2022-03-17,0.43,19.14,0.5,-1.12,217.3,1950000.0,3826.89
2022-03-16,0.31,30.6,0.44,2.53,218.6,1965000.0,3836.56
2022-03-15,0.2,29.59,0.25,3.47,212.3,1912000.0,3800.85
2022-03-14,0.3,10.63,0.3,2.64,219.65,1954000.0,3827.64
2022-03-13,0.71,14.18,0.0,3.86,,1990000.0,3827.64
2022-03-12,0.86,29.83,0.58,4.71,,1990000.0,3827.64
2022-03-11,0.65,17.84,0.88,3.23,222.95,1990000.0,3786.0
2022-03-10,0.6,15.63,0.09,2.85,225.2,2005000.0,3746.43
2022-03-09,2.84,34.3,0.5,1.66,230.45,2003000.0,3787.18
2022-03-08,0.19,24.89,0.0,4.51,234.05,2045000.0,3813.41
2022-03-07,0.3,10.27,0.0,1.75,225.5,1998000.0,3806.11
2022-03-06,2.61,18.82,0.17,-2.65,,2008000.0,3806.11
2022-03-05,0.68,28.56,0.34,-5.62,,2008000.0,3806.11
2022-03-04,0.95,31.11,0.07,-2.05,224.15,2008000.0,3771.77
2022-03-03,0.94,25.85,0.07,2.21,224.15,1960000.0,3862.95
2022-03-02,3.29,24.1,0.06,1.44,230.45,2049000.0,3901.62
2022-03-01,5.01,26.54,0.53,-1.68,237.25,2125000.0,3910.28
2022-02-28,73.53,80.6,0.0,1.44,234.25,2127000.0,3910.64
2022-02-27,53.11,59.5,0.17,3.13,,2160000.0,3910.64
2022-02-26,0.65,35.18,0.18,2.99,,2160000.0,3910.64
2022-02-25,1.29,34.12,0.43,2.63,240.05,2160000.0,3940.2
2022-02-24,0.59,17.49,0.0,0.01,239.35,2160000.0,3913.79
2022-02-23,3.28,25.93,0.18,-0.59,248.6,2228000.0,3932.4
2022-02-22,0.2,22.66,0.1,3.36,248.45,2232000.0,3927.25
2022-02-21,0.43,11.26,0.0,3.49,,,3927.25
2022-02-20,2.25,12.58,0.0,2.49,,2222000.0,3927.25
2022-02-19,0.39,46.77,0.05,2.81,,2222000.0,3927.25
2022-02-18,1.73,33.75,0.14,-2.63,246.85,2222000.0,3953.26
2022-02-17,0.77,23.58,0.12,-1.09,251.5,2260000.0,3963.72
2022-02-16,0.67,34.37,0.22,4.11,252.25,2290000.0,3946.88
2022-02-15,1.06,30.09,0.57,-1.74,251.85,2272000.0,3938.97
2022-02-14,0.63,13.61,0.0,-2.01,247.55,2233000.0,3917.52
2022-02-13,1.62,15.74,0.23,0.94,,2255000.0,3917.52
2022-02-12,0.44,30.22,0.06,0.53,,2255000.0,3917.52
2022-02-11,0.53,33.91,0.04,6.46,251.65,2255000.0,3917.75
2022-02-10,0.49,14.63,0.1,1.25,255.2,2275000.0,3939.31
2022-02-09,0.35,27.05,0.13,-0.08,258.35,2307000.0,3965.41
2022-02-08,1.55,24.81,0.39,-2.67,248.95,2240000.0,3963.84
2022-02-07,0.98,10.5,0.42,-2.43,241.65,2192000.0,3962.68
2022-02-06,0.62,24.95,0.42,-1.9,,2185000.0,3962.68
2022-02-05,0.65,15.14,0.0,-2.29,,2185000.0,3962.68
2022-02-04,0.47,24.18,0.08,-1.85,241.85,2185000.0,3951.96
2022-02-03,1.18,33.83,0.47,2.77,243.9,2203000.0,3928.05
2022-02-02,0.64,27.42,0.49,2.46,238.8,2150000.0,3923.61
2022-02-01,1.57,30.49,0.38,-1.2,236.7,2125000.0,3942.73
2022-01-31,0.8,9.11,0.48,-4.42,235.1,2123000.0,3982.6
2022-01-30,0.76,12.77,2.07,-5.94,,2135000.0,3982.6
2022-01-29,0.45,16.77,0.58,-6.67,,2135000.0,3982.6
2022-01-28,0.82,26.25,10.37,-10.96,235.9,2135000.0,3944.04
2022-01-27,0.22,17.26,0.16,-12.75,232.05,2105000.0,3947.83
2022-01-26,0.52,19.33,0.13,-14.33,238.9,2139000.0,3987.32
2022-01-25,0.75,30.52,0.16,-11.91,237.9,2149000.0,3977.51
2022-01-24,0.38,7.64,0.25,-8.44,232.95,2113000.0,3964.3
2022-01-23,1.02,13.71,0.34,-6.81,,2142000.0,3964.3
2022-01-22,0.94,28.66,0.11,-5.72,,2142000.0,3964.3
2022-01-21,1.14,24.27,0.43,-2.85,237.9,2142000.0,3980.8
2022-01-20,0.65,30.36,0.15,-1.2,243.65,2198000.0,4003.95
2022-01-19,0.29,30.46,0.29,2.94,244.45,2215000.0,4033.37
2022-01-18,0.82,34.09,0.06,3.96,239.6,2196000.0,3993.65
2022-01-17,4.71,18.63,0.0,3.74,,,3993.65
2022-01-16,0.78,9.98,0.16,3.92,,2180000.0,3993.65
2022-01-15,3.22,24.35,0.0,4.52,,2180000.0,3993.65
2022-01-14,1.11,20.35,0.59,2.82,239.65,2180000.0,3950.4
2022-01-13,0.71,37.17,3.89,-1.76,237.0,2135000.0,3970.08
2022-01-12,1.65,27.68,0.08,-3.25,240.85,2170000.0,4011.65
2022-01-11,1.1,33.14,0.25,-4.58,237.05,2147000.0,4043.46
2022-01-10,6.34,28.17,0.0,-5.73,234.9,2160000.0,4043.46
2022-01-09,1.36,20.24,0.17,-6.0,,2189000.0,4043.46
2022-01-08,0.31,24.79,0.1,-5.66,,2189000.0,4043.46
