Fecha,EMV-ID
2011-09-21,0.0
2011-09-22,0.6
2011-09-23,0.37
2011-09-24,0.0
2011-09-25,0.95
2011-09-26,0.0
2011-09-27,0.46
2011-09-28,0.39
2011-09-29,0.0
2011-09-30,0.0
2011-10-01,0.0
2011-10-02,0.49
2011-10-03,0.61
2011-10-04,0.46
2011-10-05,0.0
2011-10-06,0.0
2011-10-07,0.0
2011-10-08,0.0
2011-10-09,2.98
2011-10-10,0.63
2011-10-11,0.46
2011-10-12,0.0
2011-10-13,0.0
2011-10-14,0.0
2011-10-15,0.0
2011-10-16,0.0
2011-10-17,0.0
2011-10-18,0.87
2011-10-19,0.69
2011-10-20,0.29
2011-10-21,0.34
2011-10-22,1.06
2011-10-23,0.0
2011-10-24,0.0
2011-10-25,0.46
2011-10-26,0.0
2011-10-27,0.0
2011-10-28,0.0
2011-10-29,0.0
2011-10-30,0.94
2011-10-31,0.0
2011-11-01,0.0
2011-11-02,0.0
2011-11-03,0.0
2011-11-04,0.0
2011-11-05,0.51
2011-11-06,0.46
2011-11-07,0.0
2011-11-08,0.43
2011-11-09,0.64
2011-11-10,0.0
2011-11-11,0.0
2011-11-12,0.0
2011-11-13,0.95
2011-11-14,0.56
2011-11-15,0.0
2011-11-16,0.0
2011-11-17,0.31
2011-11-18,1.19
2011-11-19,0.0
2011-11-20,0.0
2011-11-21,0.0
2011-11-22,0.0
2011-11-23,0.0
2011-11-24,0.0
2011-11-25,0.0
2011-11-26,0.0
2011-11-27,0.55
2011-11-28,0.66
2011-11-29,0.52
2011-11-30,0.0
2011-12-01,0.0
2011-12-02,0.39
2011-12-03,0.0
2011-12-04,0.0
2011-12-05,4.42
2011-12-06,0.49
2011-12-07,0.0
2011-12-08,0.32
2011-12-09,0.4
2011-12-10,0.0
2011-12-11,0.0
2011-12-12,0.65
2011-12-13,0.5
2011-12-14,0.0
2011-12-15,0.31
2011-12-16,0.4
2011-12-17,0.63
2011-12-18,0.53
2011-12-19,0.0
2011-12-20,0.51
2011-12-21,0.4
2011-12-22,0.34
2011-12-23,0.0
2011-12-24,0.72
2011-12-25,0.66
2011-12-26,1.92
2011-12-27,0.63
2011-12-28,0.0
2011-12-29,0.0
2011-12-30,0.0
2011-12-31,0.0
2012-01-01,1.25
2012-01-02,0.0
2012-01-03,0.0
2012-01-04,0.0
2012-01-05,0.0
2012-01-06,0.0
2012-01-07,0.62
2012-01-08,0.54
2012-01-09,0.0
2012-01-10,0.0
2012-01-11,0.0
2012-01-12,0.0
2012-01-13,1.19
2012-01-14,0.0
2012-01-15,0.0
2012-01-16,1.36
2012-01-17,0.0
2012-01-18,0.0
2012-01-19,0.0
2012-01-20,0.0
2012-01-21,0.6
2012-01-22,1.06
2012-01-23,0.0
2012-01-24,0.0
2012-01-25,1.91
2012-01-26,0.0
2012-01-27,0.0
2012-01-28,0.0
2012-01-29,0.51
2012-01-30,0.0
2012-01-31,0.0
2012-02-01,0.0
2012-02-02,0.0
2012-02-03,0.0
2012-02-04,0.6
2012-02-05,0.0
2012-02-06,1.39
2012-02-07,0.0
2012-02-08,0.38
2012-02-09,0.29
2012-02-10,0.4
2012-02-11,4.31
2012-02-12,5.77
2012-02-13,1.35
2012-02-14,0.99
2012-02-15,0.0
2012-02-16,0.0
2012-02-17,0.0
2012-02-18,0.0
2012-02-19,0.0
2012-02-20,0.0
2012-02-21,0.0
2012-02-22,0.37
2012-02-23,0.0
2012-02-24,0.0
2012-02-25,0.6
2012-02-26,1.02
2012-02-27,0.67
2012-02-28,0.0
2012-02-29,0.38
2012-03-01,0.0
2012-03-02,0.39
2012-03-03,0.0
2012-03-04,0.0
2012-03-05,0.0
2012-03-06,0.0
2012-03-07,0.39
2012-03-08,0.0
2012-03-09,0.41
2012-03-10,0.62
2012-03-11,0.0
2012-03-12,0.0
2012-03-13,1.01
2012-03-14,0.78
2012-03-15,0.0
2012-03-16,0.41
2012-03-17,0.0
2012-03-18,0.0
2012-03-19,0.0
2012-03-20,0.0
2012-03-21,0.39
2012-03-22,0.0
2012-03-23,0.0
2012-03-24,0.0
2012-03-25,1.05
2012-03-26,0.0
2012-03-27,0.0
2012-03-28,0.0
2012-03-29,0.32
2012-03-30,0.0
2012-03-31,1.27
2012-04-01,0.0
2012-04-02,0.0
2012-04-03,0.0
2012-04-04,0.78
2012-04-05,0.0
2012-04-06,0.0
2012-04-07,0.0
2012-04-08,0.0
2012-04-09,0.7
2012-04-10,0.0
2012-04-11,0.38
2012-04-12,0.63
2012-04-13,0.0
2012-04-14,1.88
2012-04-15,0.52
2012-04-16,0.0
2012-04-17,0.47
2012-04-18,1.1
2012-04-19,0.0
2012-04-20,0.78
2012-04-21,0.0
2012-04-22,1.04
2012-04-23,0.0
2012-04-24,0.0
2012-04-25,0.37
2012-04-26,0.3
2012-04-27,0.79
2012-04-28,0.61
2012-04-29,0.0
2012-04-30,0.66
2012-05-01,0.0
2012-05-02,0.38
2012-05-03,0.0
2012-05-04,0.0
2012-05-05,0.61
2012-05-06,0.0
2012-05-07,0.65
2012-05-08,0.0
2012-05-09,0.38
2012-05-10,0.3
2012-05-11,0.0
2012-05-12,0.0
2012-05-13,1.04
2012-05-14,0.0
2012-05-15,0.48
2012-05-16,0.0
2012-05-17,0.3
2012-05-18,0.0
2012-05-19,0.61
2012-05-20,0.53
2012-05-21,0.67
2012-05-22,0.5
2012-05-23,0.0
2012-05-24,0.0
2012-05-25,0.41
2012-05-26,0.63
2012-05-27,0.0
2012-05-28,0.0
2012-05-29,0.59
2012-05-30,0.0
2012-05-31,0.0
2012-06-01,0.4
2012-06-02,0.0
2012-06-03,0.0
2012-06-04,0.0
2012-06-05,0.0
2012-06-06,0.4
2012-06-07,0.32
2012-06-08,0.42
2012-06-09,0.0
2012-06-10,0.53
2012-06-11,0.0
2012-06-12,0.0
