Fecha,Vol. Futuros,typeLSTM,LSTM,typeRandomForest,RandomForest,typeXGBoost,XGBoost,typeELM,ELM
2020-03-09,4.008911306829982,train,2.3685381,train,3.42299451460479,train,2.0977755,train,2.042934975141542
2020-03-10,4.749996838368508,train,2.7996333,train,4.089232152323246,train,3.113004,train,2.719898924743408
2020-03-11,2.3916108895772603,train,2.676587,train,2.258961666860835,train,2.0611048,train,3.0482682248402524
2020-03-12,2.17498378825885,train,1.8922513,train,2.119122422217303,train,1.8327888,train,2.3679939303105293
2020-03-13,1.9427067960261155,train,1.5638511,train,1.726273131402655,train,1.8327888,train,2.7525230007079435
2020-03-14,1.1161971158534345,train,1.7358115,train,1.1399326885545369,train,1.5109819,train,1.7812723326986974
2020-03-15,0.6741892823474449,train,1.9003024,train,1.092020428323495,train,1.5109819,train,1.1841218216131306
2020-03-16,1.1963252948501308,train,1.990463,train,1.064784444565845,train,1.5008314,train,0.8696650732843094
2020-03-17,0.967125526517775,train,2.086045,train,1.2067671937124742,train,1.596032,train,1.6391459642936708
2020-03-18,4.883644011289098,train,2.613655,train,3.363096492427538,train,1.6383876,train,3.3210552424784563
2020-03-19,7.658391551454409,train,3.2927577,train,6.369083160843843,train,4.387773,train,4.068904313786855
2020-03-20,2.581061409648843,train,3.4603996,train,3.0443930638558343,train,2.1716993,train,3.304378522202752
2020-03-21,0.1341637271150786,train,2.6202102,train,0.5850935352987848,train,1.5434799,train,1.4439570389415592
2020-03-22,0.0565309975216359,train,2.0764027,train,0.5517207297300868,train,1.4279653,train,1.107818538885904
2020-03-23,1.20895899577306,train,2.3108296,train,1.537047118863299,train,1.6383876,train,1.6075552895944616
2020-03-24,3.524772421650577,train,2.2636375,train,2.822893462637694,train,2.03891,train,1.898964019922313
2020-03-25,3.4047507053401,train,2.643814,train,3.047253836073492,train,2.6357937,train,2.5623641974576623
2020-03-26,4.163995111793222,train,2.6457207,train,3.164572478659243,train,2.6357937,train,3.2258781650688766
2020-03-27,7.321355909118174,train,2.735089,train,5.416530841512957,train,4.387773,train,4.122879623547868
2020-03-28,2.254793138616029,train,3.0555239,train,2.93859901732167,train,2.1022747,train,3.06029021880399
2020-03-29,2.1659056793209683,train,2.2863839,train,1.8365425135392188,train,1.5434799,train,1.3025782871416622
2020-03-30,3.0233952818435723,train,2.0408149,train,2.4311784540775374,train,2.0887706,train,1.818395757264465
2020-03-31,0.2093364800463322,train,2.3005633,train,0.7072944031127193,train,1.5434799,train,1.2426808658399582
2020-04-01,3.0144502797969013,train,2.1540804,train,2.2700013564331925,train,2.4776561,train,2.298995688041757
2020-04-02,2.8470161678474364,train,2.638994,train,2.532307150572038,train,2.1643322,train,3.180766579633575
2020-04-03,3.7998167930129023,train,2.7598445,train,2.774498579267986,train,2.4498582,train,2.119619890425845
2020-04-04,2.489985335026472,train,3.002102,train,2.561225377855527,train,2.1286297,train,2.3895567674875933
2020-04-05,1.0450388660914405,train,2.742751,train,1.1854028176478106,train,1.5434799,train,1.7932195236070343
2020-04-06,2.956527830207942,train,2.4470634,train,2.491156385743924,train,2.0421474,train,1.5062485109440904
2020-04-07,2.748006356602968,train,2.365325,train,2.3486072540699885,train,2.1926446,train,2.871827885943957
2020-04-08,0.0834376352119672,train,2.0866818,train,0.6585513294806297,train,1.62853,train,0.8032682423042181
2020-04-09,1.0067199117723968,train,1.6553922,train,1.1058332649364195,train,1.6144985,train,1.678886321964493
2020-04-10,0.4094553113787866,train,1.6445392,train,0.8060773386549153,train,1.5109819,train,1.945503382136482
2020-04-11,1.195154981536982,train,1.6351902,train,1.0394802865522823,train,1.3535568,train,1.5964327229090296
2020-04-12,0.6287110822764721,train,1.6048386,train,0.6581623193828136,train,1.5109819,train,1.3900652813519034
2020-04-13,1.2683464024522668,train,1.5013607,train,1.1079807785119866,train,1.6383876,train,0.5409289927132752
2020-04-14,2.152435914811232,train,1.3004851,train,1.8222938645824207,train,1.5109819,train,1.704686484781311
2020-04-15,2.527514495819501,train,1.3449714,train,2.02704481344014,train,1.7730945,train,2.2054542164686035
2020-04-16,1.3400535537482228,train,1.3489572,train,1.4267512234078543,train,1.5434799,train,2.125590059592991
2020-04-17,2.1735353843179044,train,1.2669193,train,1.8955547845471148,train,1.5130154,train,0.7561185662236578
2020-04-18,0.3634800837719493,train,1.3418851,train,0.7812258693497345,train,1.5333294,train,1.1632507642574057
2020-04-19,0.0388147020045831,train,1.2073169,train,0.444367583183864,train,1.5109819,train,0.9355235019184058
2020-04-20,1.765092860422011,train,1.1323702,train,1.660835539600759,train,1.6383876,train,0.8932237641070004
2020-04-21,3.583007543465498,train,1.2420063,train,2.9095401939289847,train,1.8631072,train,0.9692175708226268
2020-04-22,0.8626614224337044,train,1.4229137,train,1.377645072359227,train,1.5311922,train,1.893324952412193
2020-04-23,0.4060461252201952,train,1.2068462,train,0.5531017453471835,train,1.4279653,train,0.9470546643838008
2020-04-24,5.411725003682691,train,1.1228428,train,3.521090893632862,train,2.2702782,train,1.3348847241727042
2020-04-25,3.106590554108553,train,1.6138221,train,3.104443376554636,train,2.4001782,train,1.7313236657252211
2020-04-26,0.4682361659512219,train,1.4798381,train,0.9781840187963822,train,1.5146111,train,0.4331344950000387
2020-04-27,2.066379520878636,train,1.2197115,train,2.212493972369729,train,1.6144985,train,1.673551557442607
2020-04-28,1.046134124536955,train,1.2673576,train,1.4598754818973738,train,1.7579063,train,1.94553291576586
2020-04-29,1.958505399440336,train,1.2432559,train,1.5593722204767395,train,1.8139676,train,0.768782223629787
2020-04-30,0.960161001022007,train,1.3642936,train,1.0612866275908206,train,1.5533375,train,1.246055732412995
2020-05-01,0.1912960889433992,train,1.2601064,train,0.5348239827094281,train,1.5533375,train,0.6354885274673975
2020-05-02,0.7256541503481568,train,1.1564522,train,0.8333511180010598,train,1.5533375,train,1.5355731320442794
2020-05-03,0.046421713359991,train,1.2362738,train,0.5796346183047005,train,1.5533375,train,0.952451890244202
2020-05-04,1.726861066163664,train,1.2285761,train,1.5779853773571872,train,1.5533375,train,0.7349659744623803
2020-05-05,3.0786013386226707,train,1.3938559,train,2.3975583363409623,train,1.5533375,train,1.5268141587591522
2020-05-06,0.4582959442220386,train,1.4876107,train,0.8649359039617015,train,1.8828747,train,1.4000259567637436
2020-05-07,1.7528124034257349,train,1.2562376,train,1.6329532889429377,train,1.8125329,train,1.0470546038604245
2020-05-08,2.436342064011467,train,1.3774685,train,2.255715726628298,train,1.5109819,train,1.852192990226288
2020-05-09,1.6048701893034436,train,1.3409897,train,1.515495033583221,train,1.5434799,train,1.0893108256529953
2020-05-10,0.5101508549501993,train,1.3040329,train,0.812806058438355,train,1.6575799,train,1.1341696242677286
2020-05-11,2.144717568153759,train,1.1782424,train,1.941659847307524,train,1.7829521,train,1.3681347029084274
2020-05-12,3.123069011846781,train,1.5351164,train,2.4743854990912,train,1.8532498,train,2.1640650673265203
2020-05-13,1.9603783430567927,train,1.7204752,train,2.134593027888493,train,1.7730945,train,1.985067588893306
2020-05-14,1.2952927560658456,train,1.4908228,train,1.4425457780377595,train,1.4279653,train,1.5378433083126366
2020-05-15,0.0953743515309779,train,1.2230592,train,0.7557533655876705,train,1.5109819,train,1.5883344366560317
2020-05-16,0.4157195243621409,train,1.1559973,train,0.7190858864502279,train,1.5533375,train,0.869924889223501
2020-05-17,0.175441756717522,train,1.1354246,train,0.6032959201007717,train,1.5109819,train,1.2674603797328168
2020-05-18,1.0953898665696638,train,1.1578968,train,1.293407152861191,train,1.5533375,train,1.1864284403717986
2020-05-19,1.2691122159499717,train,1.2387533,train,1.3486277263679798,train,1.5533375,train,1.0277419107339272
2020-05-20,1.3164270973625969,train,1.2221884,train,1.3198376607012865,train,1.5533375,train,1.4084608918251147
2020-05-21,0.8555185259818665,train,1.2134913,train,0.918476886034196,train,1.5109819,train,1.9592080016449616
2020-05-22,1.103922897686448,train,1.1468517,train,1.105673675205974,train,1.5109819,train,1.5515777093396728
2020-05-23,0.1422673733033917,train,1.2210023,train,0.510092165282223,train,1.5533375,train,1.2219571326831309
2020-05-24,1.0296226309939194,train,1.1549609,train,1.2331253138024598,train,1.7829521,train,0.6145925490998946
2020-05-25,0.7963874936654175,train,1.2336495,train,1.2111729435354754,train,1.5109819,train,0.943690300184121
2020-05-26,0.5307826922104625,train,1.3797476,train,0.7135071144621872,train,1.5533375,train,1.6234528745518118
2020-05-27,2.504947930444253,train,1.265378,train,2.054314417188551,train,1.5431869,train,1.2035941448042098
2020-05-28,3.373335724252059,train,1.3568951,train,2.6924118165093223,train,2.1124895,train,1.726114035189508
2020-05-29,2.866112253186237,train,1.4687126,train,2.4248489226727084,train,2.4001782,train,1.7003060530816212
2020-05-30,0.2399621655782306,train,1.4298583,train,0.7353780082228057,train,1.5434799,train,1.5838400887550843
2020-05-31,1.3419664701185163,train,1.1598291,train,1.4615604773231932,train,1.6575799,train,0.442610158459107
2020-06-01,0.9535665303638144,train,1.1430175,train,1.0745910286443516,train,1.5533375,train,1.6339940022026054
2020-06-02,0.1017811792700603,train,0.62817574,train,0.7239188607682032,train,1.5533375,train,0.3972212987612858
2020-06-03,0.9123225975521972,train,1.1543565,train,1.307147983656461,train,1.7829521,train,1.0342564247411696
2020-06-04,0.963252061347217,train,1.0086224,train,1.3308894259998576,train,1.5533375,train,1.4912828502149955
2020-06-05,0.7612317906196397,train,1.1121774,train,0.8321833860358621,train,1.5533375,train,1.7390766406760505
2020-06-06,0.7096608095053457,train,1.097512,train,0.8656744216156326,train,1.5533375,train,0.6461612876146898
2020-06-07,0.0386625070637545,train,1.0531062,train,0.2805468110843272,train,1.4746599,train,1.0028125479837398
2020-06-08,0.670998302441591,train,0.91172755,train,0.779955292092463,train,1.4746599,train,0.2771486348330709
2020-06-09,1.1184661587894815,train,0.8565525,train,1.2116994605964455,train,1.5533375,train,1.2818427729549398
2020-06-10,1.0794245130880402,train,0.99862075,train,1.0470455575422457,train,1.6383876,train,0.7037974598849093
2020-06-11,0.7782140442054963,train,0.9612246,train,0.8187038247235927,train,1.55971,train,1.2086683588453238
2020-06-12,0.8368249670516579,train,1.0031214,train,1.0662635384900634,train,1.5533375,train,1.9310068622774028
