Fecha,Vol. Futuros,typeLSTM,LSTM,typeRandomForest,RandomForest,typeXGBoost,XGBoost,typeELM,ELM
2020-03-10,4.749996838368508,train,3.8831325,train,3.922925158620069,train,2.7333183,train,2.45333993587115
2020-03-11,2.3916108895772603,train,2.8305945,train,2.7701461029256773,train,2.1670637,train,2.895106373932281
2020-03-12,2.17498378825885,train,1.6098409,train,2.380363175343464,train,1.8525201,train,2.6748626557287563
2020-03-13,1.9427067960261155,train,1.5945549,train,1.9210438479411784,train,1.7010586,train,3.041542257326144
2020-03-14,1.1161971158534345,train,1.1915894,train,1.3402798025007028,train,1.7010586,train,2.178561604384857
2020-03-15,0.6741892823474449,train,0.85781705,train,1.0177059544608444,train,1.7933295,train,1.783169140973167
2020-03-16,1.1963252948501308,train,1.0526882,train,1.279737124911478,train,1.7010586,train,0.9788236600722772
2020-03-17,0.967125526517775,train,1.5025458,train,1.3926986665154104,train,1.7010586,train,1.6020851559373008
2020-03-18,4.883644011289098,train,5.0471845,train,3.8681987436288647,train,2.421294,train,4.151249344366456
2020-03-19,7.658391551454409,train,6.855697,train,6.128876125766018,train,3.2915335,train,4.952668375641036
2020-03-20,2.581061409648843,train,3.2769904,train,3.327052186379179,train,2.096514,train,3.390579958774592
2020-03-21,0.1341637271150786,train,0.41144484,train,1.3177348666131317,train,1.5910919,train,1.1036775634587157
2020-03-22,0.0565309975216359,train,-0.2865129,train,0.9752691184867994,train,1.7010586,train,0.8492757782369353
2020-03-23,1.20895899577306,train,1.509335,train,1.6245014805938016,train,1.7076197,train,1.3074244979891805
2020-03-24,3.524772421650577,train,3.2537704,train,3.0887412836040733,train,2.2820172,train,2.775521270097496
2020-03-25,3.4047507053401,train,4.129522,train,3.396882618779509,train,2.346284,train,3.2268586623342976
2020-03-26,4.163995111793222,train,4.7522817,train,3.7714071428446334,train,2.346284,train,3.61057960949446
2020-03-27,7.321355909118174,train,5.9390645,train,5.488170174294607,train,3.2915335,train,4.214952621416187
2020-03-28,2.254793138616029,train,3.4960575,train,2.885977845005914,train,2.0269663,train,2.247253388979272
2020-03-29,2.1659056793209683,train,2.3652825,train,2.1444970637481973,train,1.9650624,train,1.3233894187510669
2020-03-30,3.0233952818435723,train,2.8229837,train,2.7377993420164444,train,2.190736,train,2.144971870875106
2020-03-31,0.2093364800463322,train,1.0164633,train,1.1590124493963272,train,1.8525201,train,1.7396726381637522
2020-04-01,3.0144502797969013,train,2.6891942,train,2.883347601089244,train,1.9650624,train,2.3498585719623915
2020-04-02,2.8470161678474364,train,2.964984,train,2.721353568186111,train,1.8310052,train,3.1114276512631323
2020-04-03,3.7998167930129023,train,3.97441,train,3.159963908291251,train,2.2820172,train,2.8773688308230545
