Fecha,Vol. Futuros,LSTM,typeRandomForest,RandomForest,typeXGBoost,XGBoost,typeELM,ELM
2010-01-01,0.0,,,,,,,
2010-01-02,4.256365418895245,,,,,,,
2010-01-03,0.7945445758837828,,,,,,,
2010-01-04,0.7878986040086577,,train,1.1179455806335146,,,,
2010-01-05,0.6010270876692014,,train,0.6902124709600125,,,,
2010-01-06,0.4246290881451004,,train,0.6110955181060642,,,,
2010-01-07,0.2116402906377693,,train,0.5852682028458042,,,,
2010-01-08,2.4022042838887896,,train,1.758894365332614,,,,
2010-01-09,0.9245522293630164,,train,0.9858043308355824,,,,
2010-01-10,0.7608066103516237,,train,0.7558723402879668,,,,
2010-01-11,1.3054290110019762,,train,1.2310702740186192,,,train,1.0171811989723198
2010-01-12,0.4184106522573985,,train,0.6938078324594092,,,train,1.476964248078473
2010-01-13,1.4224003908233684,,train,1.2813212217822676,,,train,1.2778298786941396
2010-01-14,0.5526784361694898,,train,0.828945491749409,,,train,1.2599548746209552
2010-01-15,2.525563908914428,,train,2.055243559737606,,,train,1.0370086545578276
2010-01-16,0.9802063534502043,0.88687193,train,1.220015532698105,train,1.5166432,train,1.4818784848933182
2010-01-17,0.5074727550925193,0.80453587,train,0.5613030085153361,train,0.67713445,train,1.2705068505967343
2010-01-18,0.7423520389692668,0.8138715,train,0.8130731777374787,train,0.7295256,train,1.274710435747781
2010-01-19,0.1631032521281001,0.78563035,train,0.3744648553488171,train,0.78150195,train,1.1384682523534098
2010-01-20,1.2138671004315351,1.0974146,train,1.1853362645919143,train,0.7667596,train,1.0479869078195865
2010-01-21,0.3598420579533369,1.0377742,train,0.9448933290009603,train,1.0886,train,1.2470649373383822
2010-01-22,0.6467863007486138,1.0489117,train,0.7845320397272129,train,1.0502763,train,1.1698947938537498
2010-01-23,0.2344574751978121,0.72828186,train,0.4536731612012648,train,0.965224,train,1.2138013224091624
2010-01-24,0.1901032556366483,0.43753454,train,0.3082470350977787,train,0.68748647,train,0.7096918882804172
