Fecha,Vol. Futuros,TRM,Precio Interno,PI,MHI,FNI,SI
2020-03-06,3.945742755845812,3522.41,995000.0,0.89,13.13,0.22,-0.35
2020-03-07,1.7091587710159044,3584.58,995000.0,2.76,22.62,0.14,-1.08
2020-03-08,0.8233164760327127,3584.58,995000.0,4.38,56.68,0.92,-1.82
2020-03-09,4.008911306829982,3584.58,1075000.0,2.23,56.19,1.24,-1.8
2020-03-10,4.749996838368508,3803.6,1100000.0,4.24,29.01,0.13,-1.96
2020-03-11,2.3916108895772603,3780.39,1120000.0,4.66,23.91,0.15,-7.62
2020-03-12,2.17498378825885,3835.15,1145000.0,1.65,31.32,0.0,-6.56
2020-03-13,1.9427067960261155,4034.66,1130000.0,11.69,44.43,0.19,-3.77
2020-03-14,1.1161971158534345,3941.92,1130000.0,11.15,56.76,1.24,-4.4
2020-03-15,0.6741892823474449,3941.92,1130000.0,26.37,85.41,2.49,-7.51
2020-03-16,1.1963252948501308,3941.92,1120000.0,34.32,76.3,2.72,-3.37
2020-03-17,0.967125526517775,4099.93,1085000.0,11.95,50.18,2.39,-2.15
2020-03-18,4.883644011289098,4044.55,1177000.0,4.43,67.5,1.09,2.26
2020-03-19,7.658391551454409,4128.38,1200000.0,6.56,52.36,0.61,-3.25
2020-03-20,2.581061409648843,4153.91,1250000.0,5.19,61.62,1.04,2.94
2020-03-21,0.1341637271150786,4079.96,1250000.0,13.63,60.28,0.85,1.01
2020-03-22,0.0565309975216359,4079.96,1250000.0,6.63,75.45,9.14,-1.03
2020-03-23,1.20895899577306,4079.96,1260000.0,11.75,93.77,1.88,-6.58
2020-03-24,3.524772421650577,4079.96,1300000.0,12.67,71.14,1.17,-11.44
2020-03-25,3.4047507053401,4104.9,1315000.0,10.62,61.61,0.85,-14.87
2020-03-26,4.163995111793222,4086.34,1245000.0,5.09,51.76,1.33,-10.92
2020-03-27,7.321355909118174,3995.83,1186000.0,5.86,49.44,1.03,-12.73
2020-03-28,2.254793138616029,4042.8,1186000.0,5.17,49.75,0.3,-8.07
2020-03-29,2.1659056793209683,4042.8,1186000.0,10.51,45.76,1.69,-9.2
2020-03-30,3.0233952818435723,4042.8,1230000.0,14.76,69.52,0.95,-11.4
2020-03-31,0.2093364800463322,4064.81,1232000.0,4.39,54.34,1.16,0.75
2020-04-01,3.0144502797969013,4054.54,1210000.0,8.81,60.49,1.22,6.78
2020-04-02,2.8470161678474364,4081.06,1223000.0,4.53,53.64,1.99,11.38
2020-04-03,3.7998167930129023,4065.5,1195000.0,12.44,60.29,4.55,2.19
