Fecha,Vol. Futuros,PI,MHI,FNI,SI
2020-03-27,7.321355909118174,5.86,49.44,1.03,-12.73
2020-03-28,2.254793138616029,5.17,49.75,0.3,-8.07
2020-03-29,2.1659056793209683,10.51,45.76,1.69,-9.2
2020-03-30,3.0233952818435723,14.76,69.52,0.95,-11.4
2020-03-31,0.2093364800463322,4.39,54.34,1.16,0.75
2020-04-01,3.0144502797969013,8.81,60.49,1.22,6.78
2020-04-02,2.8470161678474364,4.53,53.64,1.99,11.38
2020-04-03,3.7998167930129023,12.44,60.29,4.55,2.19
2020-04-04,2.489985335026472,10.09,75.43,0.43,-3.69
2020-04-05,1.0450388660914405,14.72,74.72,0.38,0.37
2020-04-06,2.956527830207942,9.71,62.62,0.49,-0.42
2020-04-07,2.748006356602968,3.24,42.8,0.52,-12.97
2020-04-08,0.0834376352119672,8.48,57.38,1.98,-10.92
2020-04-09,1.0067199117723968,6.03,48.72,0.78,-8.56
2020-04-10,0.4094553113787866,3.71,57.5,0.78,-4.1
2020-04-11,1.195154981536982,4.17,55.47,1.79,-4.76
2020-04-12,0.6287110822764721,4.98,64.68,2.99,-6.68
2020-04-13,1.2683464024522668,9.33,65.28,0.0,-6.23
2020-04-14,2.1524359148112318,1.87,44.54,0.57,-4.82
2020-04-15,2.527514495819501,5.16,59.91,1.47,-9.18
2020-04-16,1.3400535537482228,9.25,55.28,0.91,-10.18
2020-04-17,2.1735353843179044,3.11,59.96,2.93,-7.86
2020-04-18,0.3634800837719493,3.88,66.47,0.8,-8.89
2020-04-19,0.0388147020045831,5.21,77.08,1.56,-10.05
2020-04-20,1.765092860422011,6.02,70.3,0.75,-11.42
2020-04-21,3.583007543465498,1.78,57.47,0.73,-12.61
2020-04-22,0.8626614224337044,1.38,53.02,0.42,-3.47
2020-04-23,0.4060461252201952,5.88,67.2,0.8,-5.91
2020-04-24,5.411725003682691,5.56,69.02,0.53,-10.07
2020-04-25,3.106590554108553,2.04,65.6,1.02,-13.11
2020-04-26,0.4682361659512219,5.56,61.62,1.52,-15.48
2020-04-27,2.0663795208786357,2.16,68.1,0.86,-14.64
2020-04-28,1.046134124536955,8.72,66.43,0.71,-13.54
2020-04-29,1.958505399440336,10.93,72.06,0.4,-21.91
2020-04-30,0.960161001022007,6.38,64.64,0.41,-23.84
2020-05-01,0.1912960889433992,2.86,65.59,0.28,-20.89
2020-05-02,0.7256541503481568,13.1,61.93,0.49,-21.28
2020-05-03,0.046421713359991,8.62,67.38,0.31,-20.33
2020-05-04,1.726861066163664,3.91,31.84,0.56,-23.03
2020-05-05,3.0786013386226707,3.7,54.65,1.01,-20.14
2020-05-06,0.4582959442220386,3.08,58.7,0.94,-21.65
2020-05-07,1.7528124034257349,6.04,47.38,1.33,-9.78
2020-05-08,2.436342064011467,2.21,61.73,0.96,-16.8
2020-05-09,1.6048701893034436,5.62,60.57,1.76,-23.88
2020-05-10,0.5101508549501993,30.46,78.83,0.17,-23.16
2020-05-11,2.144717568153759,13.38,75.18,2.92,-24.15
2020-05-12,3.123069011846781,2.65,57.06,0.88,-17.32
2020-05-13,1.9603783430567927,7.27,59.53,0.88,-21.58
2020-05-14,1.2952927560658456,2.77,56.03,0.63,-31.99
2020-05-15,0.0953743515309779,2.85,57.87,1.38,-22.38
2020-05-16,0.4157195243621409,2.37,63.35,0.38,-17.73
2020-05-17,0.175441756717522,7.71,72.03,2.64,-16.58
2020-05-18,1.0953898665696638,10.2,54.76,1.36,-11.27
2020-05-19,1.2691122159499717,5.03,57.14,0.66,-18.55
2020-05-20,1.3164270973625969,6.48,62.15,0.0,-17.26
2020-05-21,0.8555185259818665,2.67,67.14,0.47,-25.74
2020-05-22,1.103922897686448,3.06,46.59,1.06,-23.77
2020-05-23,0.1422673733033917,1.88,59.54,1.48,-22.59
2020-05-24,1.0296226309939194,24.93,70.82,0.57,-24.43
2020-05-25,0.7963874936654175,2.17,40.43,1.08,-27.22
2020-05-26,0.5307826922104625,2.06,56.93,0.0,-27.79
2020-05-27,2.504947930444253,4.02,69.81,0.77,-24.55
