Fecha,Vol. Futuros,TRM,Precio Interno,VIX,EMV-ID,EPU
2010-03-12,0.993891973531573,1894.79,696625.0,17.58,0.0,124.23
2010-03-13,1.2081044210826095,1892.99,696625.0,17.601849545272273,0.57,88.91
2010-03-14,0.5131778526349522,1892.99,696625.0,17.857135991451933,0.47,100.39
2010-03-15,0.5620730024354387,1892.99,692375.0,18.0,0.57,89.34
2010-03-16,1.312760165175741,1899.75,700125.0,17.69,0.45,55.81
2010-03-17,0.6499736130477992,1896.15,700225.0,16.91,0.0,107.05
2010-03-18,1.4753435749952597,1893.42,710000.0,16.62,0.0,91.77
2010-03-19,2.1636828129141743,1900.55,693125.0,16.97,0.0,115.47
2010-03-20,0.9724978155850186,1907.06,693125.0,17.313234315186307,0.58,101.07
2010-03-21,1.0624071849626917,1907.06,693125.0,17.34048268026568,2.4,143.6
2010-03-22,1.961055039717748,1907.06,694875.0,16.87,0.0,121.97
2010-03-23,1.30720815673527,1907.06,693125.0,16.35,0.0,193.2
2010-03-24,0.3345106259914614,1907.06,687000.0,17.55,0.0,123.36
2010-03-25,1.990482229893304,1923.41,689500.0,18.4,0.0,89.01
2010-03-26,0.8429589955768164,1922.91,687875.0,17.77,0.74,125.77
2010-03-27,0.4606400100064168,1933.4,687875.0,17.536093732182735,0.0,102.55
2010-03-28,0.7655347027224442,1933.4,687875.0,17.70120904261013,0.46,141.35
2010-03-29,1.3739768569908548,1933.4,687875.0,17.59,0.0,91.31
2010-03-30,0.5774104819086964,1934.21,686625.0,17.13,0.0,63.15
2010-03-31,2.035693706874397,1928.59,672250.0,17.59,0.0,89.89
2010-04-01,0.913916066848031,1921.88,672250.0,17.47,0.0,84.33
2010-04-02,1.1847355159621429,1921.88,672250.0,17.45271523920021,0.75,70.98
2010-04-03,0.5075556871646152,1921.88,672250.0,17.592230403672215,0.61,95.1
2010-04-04,0.0697381726379047,1921.88,672250.0,17.558130366308102,0.0,160.56
2010-04-05,0.137738115470991,1921.88,680625.0,17.02,0.0,94.44
2010-04-06,0.3227544490866599,1911.78,681250.0,16.23,0.0,58.02
2010-04-07,1.192426052973553,1911.07,681375.0,16.62,0.35,127.98
2010-04-08,2.0937403954265426,1920.53,668000.0,16.48,0.0,43.73
2010-04-09,1.4959142078156509,1931.91,666125.0,16.14,0.0,50.11
2010-04-10,0.0235084294302442,1921.32,666125.0,15.660826033489498,0.58,75.41
2010-04-11,0.6173486096188712,1921.32,666125.0,15.331882088053549,0.96,115.07
2010-04-12,0.044659641592202,1921.32,664375.0,15.58,0.0,79.97
2010-04-13,1.0160012138384138,1926.16,664625.0,16.2,0.0,46.21
2010-04-14,0.265101461829013,1936.22,665500.0,15.59,0.0,69.27
2010-04-15,0.0758725377823912,1938.24,661000.0,15.89,0.28,69.8
2010-04-16,2.031888956887492,1943.83,659250.0,18.36,0.0,75.16
2010-04-17,0.9475817238767203,1942.21,659250.0,19.572161030271577,0.0,101.71
2010-04-18,0.3193562760765831,1942.21,659250.0,19.034417390010262,0.48,106.99
2010-04-19,0.5507360987076767,1942.21,650625.0,17.34,0.0,78.4
2010-04-20,0.1162115180177518,1951.04,647375.0,15.73,0.0,73.94
2010-04-21,0.4249571780548517,1947.69,649250.0,16.32,1.03,47.05
2010-04-22,1.073629944725606,1948.47,652250.0,16.47,0.29,80.34
2010-04-23,0.5325231298752781,1955.84,641000.0,16.62,0.35,95.94
2010-04-24,0.7909531510319171,1950.89,641000.0,15.47014689868387,0.0,84.55
2010-04-25,0.5306899486706128,1950.89,641000.0,14.810802552585258,0.0,126.15
2010-04-26,0.7542120330397569,1950.89,640500.0,17.47,0.0,163.65
2010-04-27,1.3290493711936242,1943.41,641250.0,22.81,0.42,100.2
2010-04-28,2.305033094326315,1961.82,658000.0,21.08,0.33,108.28
2010-04-29,0.4844429075532427,1973.05,654250.0,18.44,0.84,80.39
2010-04-30,0.519096456696987,1969.75,657000.0,22.05,0.0,70.76
2010-05-01,1.16963475399624,1950.44,657000.0,22.3378382766816,0.0,47.02
2010-05-02,1.056209592334945,1950.44,657000.0,20.13550349990744,0.47,82.64
2010-05-03,0.1134436111393682,1950.44,672125.0,20.19,0.0,67.0
2010-05-04,0.7251663395320236,1973.42,672125.0,23.84,0.0,48.43
2010-05-05,0.1092299398609038,1988.47,674625.0,24.91,0.33,108.75
2010-05-06,3.032776812969875,2003.37,664750.0,32.8,0.0,68.4
2010-05-07,0.1127184038187498,2010.13,675000.0,40.95,0.35,160.17
2010-05-08,0.1688199864431547,2029.54,675000.0,40.103240881233674,0.57,265.2
2010-05-09,0.1325775352159067,2029.54,675000.0,33.807805461086396,0.0,211.97
2010-05-10,0.376438682194376,2029.54,657500.0,28.84,1.15,193.88
2010-05-11,1.264897817062091,1988.32,668000.0,28.32,0.0,90.3
2010-05-12,1.1395087461859197,1980.5,670125.0,25.52,0.67,153.66
2010-05-13,0.1825817560344762,1966.36,662125.0,26.68,0.0,126.18
2010-05-14,2.064208935982084,1959.62,681500.0,31.24,0.0,116.25
2010-05-15,1.3858086264059142,1968.1,681500.0,32.102028536018274,0.56,94.96
2010-05-16,0.1176589377420448,1968.1,681500.0,30.65936383463542,0.0,83.87
2010-05-17,1.4913640670579615,1968.1,673875.0,30.84,0.0,78.19
2010-05-18,1.255555637043851,1968.1,682500.0,33.55,0.0,74.4
2010-05-19,2.79087881170765,1976.46,681125.0,35.32,0.0,66.07
2010-05-20,0.6435759483958468,1997.09,677250.0,45.79,0.28,62.11
2010-05-21,0.5680757560589472,2017.68,681000.0,40.1,0.0,117.45
2010-05-22,0.1319299173082445,1998.42,681000.0,36.97666993639957,0.57,169.1
2010-05-23,0.1847966754542429,1998.42,681000.0,38.475649674905206,0.46,93.61
2010-05-24,0.0604905183039227,1998.42,674750.0,38.32,0.52,105.35
2010-05-25,0.3773589383639488,1975.01,683750.0,34.61,0.42,154.58
2010-05-26,0.7130823985849266,1989.51,684000.0,35.02,0.34,83.54
2010-05-27,0.7822725681209077,1976.4,689375.0,29.68,0.0,97.92
2010-05-28,0.371747640013242,1966.8,692750.0,32.07,0.0,92.98
2010-05-29,0.7449328695451065,1971.55,692750.0,36.191105805676,0.0,174.94
2010-05-30,0.2361915573127649,1971.55,692750.0,38.64461674305803,0.0,175.23
2010-05-31,1.018361440879654,1971.55,692750.0,38.67831930891103,0.0,221.3
2010-06-01,1.6614744390522174,1971.55,708625.0,35.54,0.5,88.0
2010-06-02,0.8457487441539395,1971.45,710875.0,30.17,0.0,78.16
2010-06-03,0.1476015028120457,1963.36,708375.0,29.46,0.0,83.05
2010-06-04,1.373698973017922,1961.47,716125.0,35.48,0.37,79.31
2010-06-05,0.8641976127066084,1965.83,716125.0,39.216706452673684,0.0,113.42
2010-06-06,0.0287726860039251,1965.83,716125.0,39.17994483869234,0.5,109.39
2010-06-07,0.3482588891976945,1965.83,713375.0,36.57,0.58,116.92
2010-06-08,0.3375214154904086,1965.83,712875.0,33.7,0.0,193.59
2010-06-09,0.6716443158903621,1960.5,709625.0,33.73,0.36,145.25
2010-06-10,1.8788543113251288,1943.41,718000.0,30.57,0.0,222.64
2010-06-11,5.640792953953959,1928.83,746625.0,28.79,0.38,105.75
2010-06-12,1.8877906687090973,1925.35,746625.0,29.069521134996485,0.0,86.14
2010-06-13,0.1568259873154792,1925.35,746625.0,29.633029323057162,0.5,141.76
2010-06-14,2.3250153971246976,1925.35,755000.0,28.58,0.59,103.2
2010-06-15,5.415438471049764,1925.35,768500.0,25.87,0.0,113.0
2010-06-16,0.3772403090544336,1917.82,751250.0,25.92,0.35,99.02
2010-06-17,1.5233553868950829,1912.29,739250.0,25.05,0.0,138.77
2010-06-18,2.463801189692921,1902.78,761375.0,23.95,0.0,128.67
2010-06-19,0.8277274687887457,1906.61,761375.0,23.210961274360173,0.0,122.97
2010-06-20,0.9252414376770428,1906.61,761375.0,23.321219866081215,0.48,173.79
2010-06-21,0.717026875508477,1906.61,742500.0,24.88,0.59,104.25
2010-06-22,0.0943247986929567,1889.51,760875.0,27.05,1.38,80.74
2010-06-23,0.3147626142993531,1886.05,765250.0,26.91,0.37,109.74
2010-06-24,5.011037559498554,1895.75,784375.0,29.74,0.0,140.16
2010-06-25,0.1498127621021991,1896.87,787250.0,28.53,0.0,165.61
2010-06-26,0.1978479885366943,1900.36,787250.0,26.459931512297047,1.2,159.51
2010-06-27,0.597491419869875,1900.36,787250.0,26.13646355787727,0.0,126.36
2010-06-28,1.2153820301938658,1900.36,810000.0,29.0,0.0,139.45
2010-06-29,2.928824353617088,1901.65,805000.0,34.13,0.0,169.44
2010-06-30,1.6580054355616505,1916.46,810000.0,34.54,0.0,190.92
2010-07-01,1.210668540302005,1913.15,810000.0,32.86,0.0,194.68
2010-07-02,2.3745407900802173,1897.33,800000.0,30.12,0.0,137.95
2010-07-03,0.4997242571951505,1884.31,800000.0,29.307122932499713,1.3,160.94
