Modelo,RMSE,MAE,MAPE,RI_rmse
LSTM,1.135,0.855,40.651,0
RandomForest,2.378,2.173,129.106,0.522708158
XGBoost,1.76,1.532,91.851,0.355113636
ELM,1.151,0.873,42.527,0.013900956
