Modelo,RMSE,MAE,MAPE,RI_rmse
LSTM,1.149,0.846,37.843,0
RandomForest,1.142,0.874,44.094,-0.006129597
XGBoost,1.167,0.904,48.091,0.015424165
ELM,1.158,0.892,42.471,0.007772021
