Modelo,RMSE,MAE,MAPE,RI_rmse
LSTM,1.11,0.844,39.743,0
RandomForest,1.142,0.855,41.636,0.028021016
XGBoost,1.162,0.896,43.982,0.04475043
ELM,1.136,0.875,42.378,0.022887324
