Modelo,RMSE,MAE,MAPE,RI_rmse
LSTM,1.511,1.155,47.839,0
RandomForest,2.489,2.262,133.903,0.392928887
XGBoost,1.411,1.184,68.813,-0.070871722
ELM,1.147,0.886,44.477,-0.317349608
