Modelo,RMSE,MAE,MAPE,RI_rmse
LSTM,1.15,0.878,43.03,0
RandomForest,1.178,0.907,45.985,0.0237691
XGBoost,1.178,0.916,48.352,0.0237691
ELM,1.163,0.889,43.365,0.011177988
