Modelo,RMSE,MAE,MAPE,RI_rmse
LSTM,1.027,0.736,36.066,0
RandomForest,1.047,0.821,46.664,0.019102197
XGBoost,0.956,0.716,38.488,-0.074267782
ELM,0.957,0.709,37.366,-0.073145246
