Modelo,RMSE,MAE,MAPE,RI_rmse
LSTM,1.115,0.82,38.845,0
RandomForest,2.426,2.215,131.076,0.540395713
XGBoost,1.675,1.436,84.121,0.334328358
ELM,1.164,0.895,43.061,0.04209622
