Modelo,RMSE,MAE,MAPE,RI_rmse
LSTM,0.984,0.746,40.01,0
RandomForest,0.974,0.738,40.587,-0.01026694
XGBoost,1.013,0.755,40.363,0.028627838
ELM,0.973,0.728,38.462,-0.011305242
