Modelo,RMSE,MAE,MAPE,RI_rmse
LSTM,1.112,0.816,37.863,0
RandomForest,2.696,2.479,145.931,0.587537092
XGBoost,1.683,1.443,84.742,0.339275104
ELM,1.163,0.944,50.277,0.043852107
