Modelo,RMSE,MAE,MAPE,RI_rmse
LSTM,1.016,0.767,40.609,0
RandomForest,1.024,0.793,44.964,0.0078125
XGBoost,1.039,0.78,42.242,0.02213667
ELM,0.964,0.71,36.836,-0.053941909
