Modelo,RMSE,MAE,MAPE,RI_rmse
LSTM,0.963,0.726,39.198,0
RandomForest,0.972,0.732,40.04,0.009259259
XGBoost,0.969,0.726,39.439,0.00619195
ELM,0.956,0.698,35.977,-0.007322176
